(793 % 8388608,1 % 2)
(3056767006217810546718420557540169814048515086760625357935983946527173705321 % 36363151619734086038255986015379545581918337349631110579788140539051175553598514,1396 % 2793)
(3102785537957755872511335811589869801953464089780786564986022469820487956649 % 36966784586372254407153506498895032123682206454267440406470491385459899902343750,1397 % 2795)
(3149459338713050418661682504238499117629899110589252552474329429370693750221 % 37579995365790131430172781523751693691090360199138783243315291731254493346161546,1398 % 2797)
(3196797193010202992482401836636177616499289905295791772801670829939730978401 % 38202928916489194188056942800581890734122983832174264744143753306002614017088798,1399 % 2799)
(3244807995600219279520575794099317334719483860791916967854575070622149807601 % 38835732284917117998643735543807158657763250222412797872803577714666173951168802,1400 % 2801)
(3293500752742982880213708454128398643239991257816866061450903728869966065401 % 39478554634017789445228438948456641221600686659072162765448089037676794777116854,1401 % 2803)
(3342884583505380335627954967408994756123037517215970546601514828425745666389 % 40131547272150892404577731943996383495976522517349003017675630593299865722656250,1402 % 2805)
(3392968721073302866432085375482422956247732100987394539038146462965368270961 % 40794863682385582085585851572018743589619847554484684464383627891054446135823886,1403 % 2807)
(3443762514077658670283463692148912150763536603238249327454630387099962172281 % 41468659552172813966810071892907640899371101327913491316222778685573505452624658,1404 % 2809)
(3495275427934530751546342667152412514587123929954189307308641112776433438921 % 42153092803400946956780501087900414309107018844285694939456284777380677009677862,1405 % 2811)
(3547517046199616393762247713661030272117426152144275187621084005907837161181 % 42848323622839293100655525849228409128988277764699097652306241208634736734738794,1406 % 2813)
(3600497071937085529580986203958699715960932140811710169253101008481409699329 % 43554514492974339726147221314347635166640819238133537611414459872245788574218750,1407 % 2815)
(3654225329102996414972613298450192029790645347127030004570657409095365344001 % 44271830223243424066381660130759451884227859739209769946117162865653483704154626,1408 % 2817)
(3708711763943408174509156922187520969933942623737943012006913169435151822361 % 45000437981670695123251388803573603972289409623132271712978366005235385974471318,1409 % 2819)
(3763966446407330952363593985933559103698591046499161565693992356110184317541 % 45740507326910252847679066822035548412290240893616492939423872288051654153500122,1410 % 2821)
(3819999571574655579455911864907371218257654287994229404523077146074074726161 % 46492210240701410618914097622388013057835650867677929880220990302244215174916334,1411 % 2823)
(3876821461099205850915406248636440244834593988587679939443176040923260280969 % 47255721160741083509454236585294811507783630445658218377502635121345520019531250,1412 % 2825)
